store_id,menu_item_id,sales_date,quantity_sold
store_1,item_1,2023-01-01,99.92
store_1,item_1,2023-01-02,77.97
store_1,item_1,2023-01-03,75.11
store_1,item_1,2023-01-04,91.86
store_1,item_1,2023-01-05,80.72
store_1,item_1,2023-01-06,92.8
store_1,item_1,2023-01-07,93.07
store_1,item_1,2023-01-08,95.49
store_1,item_1,2023-01-09,78.98
store_1,item_1,2023-01-10,82.27
store_1,item_1,2023-01-11,82.66
store_1,item_1,2023-01-12,82.13
store_1,item_1,2023-01-13,105.11
store_1,item_1,2023-01-14,105.54
store_1,item_1,2023-01-15,85.7
store_1,item_1,2023-01-16,84.76
store_1,item_1,2023-01-17,80.54
store_1,item_1,2023-01-18,81.02
store_1,item_1,2023-01-19,74.51
store_1,item_1,2023-01-20,105.57
store_1,item_1,2023-01-21,98.07
store_1,item_1,2023-01-22,100.02
store_1,item_1,2023-01-23,84.17
store_1,item_1,2023-01-24,86.3
store_1,item_1,2023-01-25,80.72
store_1,item_1,2023-01-26,82.09
store_1,item_1,2023-01-27,98.96
store_1,item_1,2023-01-28,101.86
store_1,item_1,2023-01-29,97.88
store_1,item_1,2023-01-30,82.27
store_1,item_1,2023-01-31,78.74
store_1,item_1,2023-02-01,78.64
store_1,item_1,2023-02-02,87.33
store_1,item_1,2023-02-03,106.74
store_1,item_1,2023-02-04,97.04
store_1,item_1,2023-02-05,100.81
store_1,item_1,2023-02-06,76.81
store_1,item_1,2023-02-07,80.78
store_1,item_1,2023-02-08,80.65
store_1,item_1,2023-02-09,90.55
store_1,item_1,2023-02-10,100.79
store_1,item_1,2023-02-11,92.26
store_1,item_1,2023-02-12,88.39
store_1,item_1,2023-02-13,77.91
store_1,item_1,2023-02-14,84.04
store_1,item_1,2023-02-15,84.85
store_1,item_1,2023-02-16,87.0
store_1,item_1,2023-02-17,90.34
store_1,item_1,2023-02-18,102.4
store_1,item_1,2023-02-19,99.75
store_1,item_1,2023-02-20,85.84
store_1,item_1,2023-02-21,86.82
store_1,item_1,2023-02-22,95.28
store_1,item_1,2023-02-23,88.98
store_1,item_1,2023-02-24,100.35
store_1,item_1,2023-02-25,102.02
store_1,item_1,2023-02-26,95.2
store_1,item_1,2023-02-27,78.58
store_1,item_1,2023-02-28,74.49
store_1,item_1,2023-03-01,77.08
store_1,item_1,2023-03-02,87.15
store_1,item_1,2023-03-03,95.68
store_1,item_1,2023-03-04,102.65
store_1,item_1,2023-03-05,106.83
store_1,item_1,2023-03-06,85.22
store_1,item_1,2023-03-07,87.2
store_1,item_1,2023-03-08,79.78
store_1,item_1,2023-03-09,83.75
store_1,item_1,2023-03-10,107.91
store_1,item_1,2023-03-11,94.99
store_1,item_1,2023-03-12,105.41
store_1,item_1,2023-03-13,93.14
store_1,item_1,2023-03-14,86.85
store_1,item_1,2023-03-15,76.19
store_1,item_1,2023-03-16,86.29
store_1,item_1,2023-03-17,100.5
store_1,item_1,2023-03-18,103.3
store_1,item_1,2023-03-19,104.69
store_1,item_1,2023-03-20,80.96
store_1,item_1,2023-03-21,80.69
store_1,item_1,2023-03-22,84.2
store_1,item_1,2023-03-23,80.18
store_1,item_1,2023-03-24,102.01
store_1,item_1,2023-03-25,100.74
store_1,item_1,2023-03-26,114.52
store_1,item_1,2023-03-27,80.08
store_1,item_1,2023-03-28,81.34
store_1,item_1,2023-03-29,87.42
store_1,item_1,2023-03-30,89.72
store_1,item_1,2023-03-31,113.04
store_1,item_1,2023-04-01,109.77
store_1,item_1,2023-04-02,105.82
store_1,item_1,2023-04-03,87.01
store_1,item_1,2023-04-04,90.08
store_1,item_1,2023-04-05,82.6
store_1,item_1,2023-04-06,84.12
store_1,item_1,2023-04-07,94.54
store_1,item_1,2023-04-08,100.85
store_1,item_1,2023-04-09,106.86
store_1,item_1,2023-04-10,84.85
store_1,item_1,2023-04-11,82.07
store_1,item_1,2023-04-12,84.2
store_1,item_1,2023-04-13,89.66
store_1,item_1,2023-04-14,101.01
store_1,item_1,2023-04-15,106.59
store_1,item_1,2023-04-16,95.84
store_1,item_1,2023-04-17,81.89
store_1,item_1,2023-04-18,83.76
store_1,item_1,2023-04-19,79.79
store_1,item_1,2023-04-20,101.11
store_1,item_1,2023-04-21,97.16
store_1,item_1,2023-04-22,107.26
store_1,item_1,2023-04-23,99.41
store_1,item_1,2023-04-24,84.02
store_1,item_1,2023-04-25,88.14
store_1,item_1,2023-04-26,79.39
store_1,item_1,2023-04-27,83.42
store_1,item_1,2023-04-28,102.25
store_1,item_1,2023-04-29,98.81
store_1,item_1,2023-04-30,98.97
store_1,item_1,2023-05-01,92.37
store_1,item_1,2023-05-02,92.01
store_1,item_1,2023-05-03,84.82
store_1,item_1,2023-05-04,86.66
store_1,item_1,2023-05-05,109.52
store_1,item_1,2023-05-06,96.25
store_1,item_1,2023-05-07,105.12
store_1,item_1,2023-05-08,97.15
store_1,item_1,2023-05-09,97.15
store_1,item_1,2023-05-10,77.68
store_1,item_1,2023-05-11,83.62
store_1,item_1,2023-05-12,104.52
store_1,item_1,2023-05-13,97.12
store_1,item_1,2023-05-14,100.44
store_1,item_1,2023-05-15,86.94
store_1,item_1,2023-05-16,94.68
store_1,item_1,2023-05-17,87.5
store_1,item_1,2023-05-18,88.86
store_1,item_1,2023-05-19,106.59
store_1,item_1,2023-05-20,106.79
store_1,item_1,2023-05-21,104.26
store_1,item_1,2023-05-22,81.99
store_1,item_1,2023-05-23,91.97
store_1,item_1,2023-05-24,90.23
store_1,item_1,2023-05-25,82.64
store_1,item_1,2023-05-26,100.96
store_1,item_1,2023-05-27,108.86
store_1,item_1,2023-05-28,107.5
store_1,item_1,2023-05-29,84.72
store_1,item_1,2023-05-30,87.02
store_1,item_1,2023-05-31,87.7
store_1,item_1,2023-06-01,99.65
store_1,item_1,2023-06-02,120.68
store_1,item_1,2023-06-03,114.81
store_1,item_1,2023-06-04,120.38
store_1,item_1,2023-06-05,101.13
store_1,item_1,2023-06-06,97.84
store_1,item_1,2023-06-07,89.65
store_1,item_1,2023-06-08,91.77
store_1,item_1,2023-06-09,118.49
store_1,item_1,2023-06-10,106.28
store_1,item_1,2023-06-11,115.48
store_1,item_1,2023-06-12,102.11
store_1,item_1,2023-06-13,97.92
store_1,item_1,2023-06-14,94.2
store_1,item_1,2023-06-15,93.03
store_1,item_1,2023-06-16,119.21
store_1,item_1,2023-06-17,117.54
store_1,item_1,2023-06-18,113.8
store_1,item_1,2023-06-19,102.78
store_1,item_1,2023-06-20,101.78
store_1,item_1,2023-06-21,106.5
store_1,item_1,2023-06-22,100.44
store_1,item_1,2023-06-23,114.65
store_1,item_1,2023-06-24,114.81
store_1,item_1,2023-06-25,105.9
store_1,item_1,2023-06-26,98.56
store_1,item_1,2023-06-27,97.77
store_1,item_1,2023-06-28,91.25
store_1,item_1,2023-06-29,97.83
store_1,item_1,2023-06-30,122.54
store_1,item_1,2023-07-01,112.2
store_1,item_1,2023-07-02,111.12
store_1,item_1,2023-07-03,103.67
store_1,item_1,2023-07-04,101.37
store_1,item_1,2023-07-05,113.55
store_1,item_1,2023-07-06,91.7
store_1,item_1,2023-07-07,119.77
store_1,item_1,2023-07-08,117.8
store_1,item_1,2023-07-09,116.56
store_1,item_1,2023-07-10,103.05
store_1,item_1,2023-07-11,98.4
store_1,item_1,2023-07-12,88.91
store_1,item_1,2023-07-13,94.41
store_1,item_1,2023-07-14,123.34
store_1,item_1,2023-07-15,122.42
store_1,item_1,2023-07-16,114.75
store_1,item_1,2023-07-17,101.36
store_1,item_1,2023-07-18,112.81
store_1,item_1,2023-07-19,98.78
store_1,item_1,2023-07-20,98.93
store_1,item_1,2023-07-21,117.81
store_1,item_1,2023-07-22,119.94
store_1,item_1,2023-07-23,115.21
store_1,item_1,2023-07-24,102.22
store_1,item_1,2023-07-25,89.52
store_1,item_1,2023-07-26,100.97
store_1,item_1,2023-07-27,99.59
store_1,item_1,2023-07-28,116.12
store_1,item_1,2023-07-29,114.88
store_1,item_1,2023-07-30,114.26
store_1,item_1,2023-07-31,95.47
store_1,item_1,2023-08-01,79.89
store_1,item_1,2023-08-02,90.19
store_1,item_1,2023-08-03,97.06
store_1,item_1,2023-08-04,106.15
store_1,item_1,2023-08-05,111.06
store_1,item_1,2023-08-06,102.53
store_1,item_1,2023-08-07,85.25
store_1,item_1,2023-08-08,88.08
store_1,item_1,2023-08-09,86.75
store_1,item_1,2023-08-10,86.01
